ReleaseVersion,BuildVersion
20H2,"10.0.19042.1110"
20H2,"10.0.19042.1083"
20H2,"10.0.19042.1082"
20H2,"10.0.19042.1081"
20H2,"10.0.19042.1055"
20H2,"10.0.19042.1052"
20H2,"10.0.19042.1023"
20H2,"10.0.19042.985"
20H2,"10.0.19042.964"
20H2,"10.0.19042.928"
20H2,"10.0.19042.906"
20H2,"10.0.19042.870"
20H2,"10.0.19042.868"
20H2,"10.0.19042.867"
20H2,"10.0.19042.844"
20H2,"10.0.19042.804"
20H2,"10.0.19042.789"
20H2,"10.0.19042.746"
20H2,"10.0.19042.685"
20H2,"10.0.19042.662"
20H2,"10.0.19042.631"
20H2,"10.0.19042.630"
20H2,"10.0.19042.610"
20H2,"10.0.19042.572"
21H1,"10.0.19043.1110"
21H1,"10.0.19043.1083"
21H1,"10.0.19043.1082"
21H1,"10.0.19043.1081"
21H1,"10.0.19043.1055"
21H1,"10.0.19043.1052"
21H1,"10.0.19043.1023"
21H1,"10.0.19043.985"
2004,"10.0.19041.1110"
2004,"10.0.19041.1083"
2004,"10.0.19041.1082"
2004,"10.0.19041.1081"
2004,"10.0.19041.1055"
2004,"10.0.19041.1052"
2004,"10.0.19041.1023"
2004,"10.0.19041.985"
2004,"10.0.19041.964"
2004,"10.0.19041.928"
2004,"10.0.19041.906"
2004,"10.0.19041.870"
2004,"10.0.19041.868"
2004,"10.0.19041.867"
2004,"10.0.19041.844"
2004,"10.0.19041.804"
2004,"10.0.19041.789"
2004,"10.0.19041.746"
2004,"10.0.19041.685"
2004,"10.0.19041.662"
2004,"10.0.19041.631"
2004,"10.0.19041.630"
2004,"10.0.19041.610"
2004,"10.0.19041.572"
2004,"10.0.19041.546"
2004,"10.0.19041.508"
2004,"10.0.19041.488"
2004,"10.0.19041.450"
2004,"10.0.19041.423"
2004,"10.0.19041.388"
2004,"10.0.19041.331"
2004,"10.0.19041.329"
2004,"10.0.19041.264"
1909,"10.0.18363.1679"
1909,"10.0.18363.1646"
1909,"10.0.18363.1645"
1909,"10.0.18363.1621"
1909,"10.0.18363.1593"
1909,"10.0.18363.1556"
1909,"10.0.18363.1533"
1909,"10.0.18363.1500"
1909,"10.0.18363.1474"
1909,"10.0.18363.1443"
1909,"10.0.18363.1441"
1909,"10.0.18363.1440"
1909,"10.0.18363.1411"
1909,"10.0.18363.1379"
1909,"10.0.18363.1377"
1909,"10.0.18363.1350"
1909,"10.0.18363.1316"
1909,"10.0.18363.1256"
1909,"10.0.18363.1237"
1909,"10.0.18363.1199"
1909,"10.0.18363.1198"
1909,"10.0.18363.1171"
1909,"10.0.18363.1139"
1909,"10.0.18363.1110"
1909,"10.0.18363.1082"
1909,"10.0.18363.1049"
1909,"10.0.18363.1016"
1909,"10.0.18363.997"
1909,"10.0.18363.959"
1909,"10.0.18363.904"
1909,"10.0.18363.900"
1909,"10.0.18363.836"
1909,"10.0.18363.815"
1909,"10.0.18363.778"
1909,"10.0.18363.753"
1909,"10.0.18363.752"
1909,"10.0.18363.720"
1909,"10.0.18363.719"
1909,"10.0.18363.693"
1909,"10.0.18363.657"
1909,"10.0.18363.628"
1909,"10.0.18363.592"
1909,"10.0.18363.535"
1909,"10.0.18363.476"
1903,"10.0.18362.1256"
1903,"10.0.18362.1237"
1903,"10.0.18362.1199"
1903,"10.0.18362.1198"
1903,"10.0.18362.1171"
1903,"10.0.18362.1139"
1903,"10.0.18362.1110"
1903,"10.0.18362.1082"
1903,"10.0.18362.1049"
1903,"10.0.18362.1016"
1903,"10.0.18362.997"
1903,"10.0.18362.959"
1903,"10.0.18362.904"
1903,"10.0.18362.900"
1903,"10.0.18362.836"
1903,"10.0.18362.815"
1903,"10.0.18362.778"
1903,"10.0.18362.753"
1903,"10.0.18362.752"
1903,"10.0.18362.720"
1903,"10.0.18362.719"
1903,"10.0.18362.693"
1903,"10.0.18362.657"
1903,"10.0.18362.628"
1903,"10.0.18362.592"
1903,"10.0.18362.535"
1903,"10.0.18362.476"
1903,"10.0.18362.449"
1903,"10.0.18362.418"
1903,"10.0.18362.388"
1903,"10.0.18362.387"
1903,"10.0.18362.357"
1903,"10.0.18362.356"
1903,"10.0.18362.329"
1903,"10.0.18362.295"
1903,"10.0.18362.267"
1903,"10.0.18362.239"
1903,"10.0.18362.207"
